variant,tone_group,auc,sensitivity,specificity,n,n_pos,auc_ci_lo,auc_ci_hi,sens_ci_lo,sens_ci_hi
baseline_balanced,overall,0.9021271393643031,0.78,0.863080684596577,1527,300,0.8831217848065759,0.9199835898351886,,
baseline_balanced,light,0.9259649122807018,0.7666666666666667,0.8805120910384068,853,150,0.9029117390701451,0.9455735722594214,0.695350262320461,0.8285714285714286
baseline_balanced,medium,1.0,1.0,0.990990990990991,114,3,0.9999999999999999,1.0,1.0,1.0
baseline_balanced,dark,0.8448716048162606,0.7891156462585034,0.7990314769975787,560,147,0.8017196195353005,0.8805308646024665,0.7183051328102845,0.8521185839871442
